ID,Document,Metadata
bay_ir_2025.pdf::chunk::10,"5/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
２ 【沿革】
当社は、2014年４月18日に当社の実質的な存続会社である株式会社ベイカレント・コンサルティング(以下、「旧株
式会社ベイカレント・コンサルティング」という。)の創業者が保有する旧株式会社ベイカレント・コンサルティング
の株式を当社経営陣に譲渡することを目的としたマネジメント・バイ・アウト(ＭＢＯ)を実施するため、ファンドに
よる出資受入れの受皿会社として、バイロン・ホールディングス株式会社の商号で設立されました。その後、当社
は、2014年６月６日に旧株式会社ベイカレント・コンサルティングの全ての株式を取得して完全子会社化し、2014年
10月１日に旧株式会社ベイカレント・コンサルティングを吸収合併したことで営業活動を全面的に継承すると同時
に、株式会社ベイカレント・コンサルティングに商号変更しております。2024年９月１日より持株会社体制に移行
し、株式会社ベイカレントに商号変更して、現在に至っております。
当社の変遷は、下図のようになります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 10}"
bay_ir_2025.pdf::chunk::11,"当社の変遷は、下図のようになります。
以下におきましては、当社及び、当社の実質上の存続会社である旧株式会社ベイカレント・コンサルティングの沿
革を記載しております。
＜当社の沿革＞
年月 概要
2014年４月 バイロン・ホールディングス株式会社を設立(東京都港区)。
2014年６月 旧株式会社ベイカレント・コンサルティングの全株式を取得して、同社を完全子会社とする。
2014年10月 旧株式会社ベイカレント・コンサルティングを吸収合併し、同日、株式会社ベイカレント・コン
サルティングに商号変更。
2016年９月 東京証券取引所マザーズに株式を上場。
2018年12月 東京証券取引所市場第一部へ市場変更。
2022年４月 東京証券取引所の市場区分の見直しにより、東京証券取引所の市場第一部からプライム市場へ移
行。
2024年１月 本社を東京都港区(麻布台)に移転。
2024年２月 持株会社体制への移行に向けて分割準備会社「株式会社ベイカレント分割準備会社A」(現株式会","{'chunk_index': 11, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::12,"社ベイカレント・コンサルティング)、「株式会社ベイカレント分割準備会社B」(現株式会社ベ
イカレント・テクノロジー)を設立。
2024年９月 持株会社体制に移行し、株式会社ベイカレントに商号変更。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 12}"
bay_ir_2025.pdf::chunk::13,"6/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
＜旧株式会社ベイカレント・コンサルティング(実質上の存続会社)の沿革＞
年月 概要
1998年３月 経営・業務とＩＴに関するコンサルティング、システムインテグレーション及びアウトソーシン
グを事業目的とした、有限会社ピーシーワークスを設立(神奈川県藤沢市)。
2000年６月 有限会社ピーシーワークスが株式会社ピーシーワークスに組織変更。
2002年３月 本社を東京都新宿区に移転。
2006年12月 株式会社ピーシーワークスから株式会社ベイカレント・コンサルティングへと商号変更。
2014年６月 バイロン・ホールディングス株式会社が当社株式を全部取得して、当社はバイロン・ホールディ
ングス株式会社の完全子会社となる。
2014年８月 本社を東京都港区に移転。
2014年10月 バイロン・ホールディングス株式会社が当社を吸収合併し、消滅会社となる。","{'chunk_index': 13, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::14,"7/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
３ 【事業の内容】
当社グループ(当社及び当社の関係会社)は、様々な業界の日本を代表するリーディングカンパニーに対し、戦略・
デジタル・オペレーションなどの幅広いテーマを支援する総合コンサルティングファームです。
なお、当社グループは、コンサルティング事業の単一セグメントであるため、セグメント別の記載はしておりませ
んが、当社グループの特徴、主たるサービス内容は以下のとおりであります。
(1) コンサルティングサービスの内容
トップマネジメントの意思決定をサポートする全社戦略や事業戦略の立案や、デジタル技術を活用したビジネス
オペレーションの検討支援等、クライアント企業の直面する経営上重大な課題を解決するための企画検討や実行支
援を行います。
当社グループは特定の企業や系列グループに所属していないことから、ニュートラルな立場から提案を行うこと
が可能です。また、当社グループはクライアント固有の企業風土・価値観を理解し、実現性がありながらも最適と
考える提案を行っております。","{'chunk_index': 14, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::15,"考える提案を行っております。
(2) コンサルタントのプロジェクトチーム組成に関する特徴
当社グループでは、最適な人材配置やコンサルタントの多様なキャリア形成を目的として、縦割型の固定的な組
織ではなく、横断型の柔軟な組織構造としております。これにより、クライアント企業の多様で複雑化する経営課
題の解決にあたり、適切な専門性や知見を有したコンサルタントが参画するプロジェクトチームを組成することが
可能となっております。
(3) 採用・育成体制の特徴
近年の激しく、早く変化する社会において、クライアント企業の直面する課題は多様化・複雑化しており、コン
サルティング業界へのニーズが高まっております。このニーズに対し、当社グループは適切なコンサルティング
サービスを提供するために、新卒採用・中途採用ともに積極的に実施しております。
また、コンサルタントには、高度な専門性が求められるため、中長期的な人材育成を担う専門の部門を設置し、","{'source': 'bay_ir_2025.pdf', 'chunk_index': 15}"
bay_ir_2025.pdf::chunk::16,"専門領域別の研修やシニアなコンサルタントによる社内研修等の教育制度の充実に努めております。加えて、常に
ビジネスの最先端に関する知見が求められることから、研究活動を担う部門を設置し、その研究や当社のプロジェ
クトの遂行を通じて蓄積したナレッジを研修コンテンツに活用しております。
なお、当社は特定上場会社等に該当し、インサイダー取引規制の重要事実の軽微基準のうち、上場会社の規模と
の対比で定められる数値基準については連結ベースの計数に基づいて判断することとなります。
［事業系統図］
当社グループの事業系統図は以下のとおりであります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 16}"
bay_ir_2025.pdf::chunk::17,"8/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
４ 【関係会社の状況】
資本金又は 議決権の所有
主要な事業
名称 住所 出資金 (又は被所有) 関係内容
の内容
(百万円) 割合(％)
(連結子会社)
㈱ベイカレント・コンサルティング コンサルティン バックオフィス・サービス
東京都港区 200 100.0
(注)２ グ事業 の提供等
㈱ベイカレント・テクノロジー バックオフィス・サービス
東京都港区 200 ITサービス事業 100.0
(注)２ の提供等
(注) １．当社グループは、コンサルティング事業の単一セグメントであるため、「主要な事業の内容」欄には、各関
係会社が行う主要な事業を記載しております。
２．特定子会社であります。
３．有価証券届出書又は有価証券報告書を提出している会社はありません。
４．㈱ベイカレント・コンサルティングについては、売上高(連結会社相互間の内部売上高を除く。)の連結売上
高に占める割合が10％を超えています。
主要な損益情報等 (1) 売上高 61,745百万円","{'source': 'bay_ir_2025.pdf', 'chunk_index': 17}"
bay_ir_2025.pdf::chunk::18,"高に占める割合が10％を超えています。
主要な損益情報等 (1) 売上高 61,745百万円
(2) 経常利益 22,311百万円
(3) 当期純利益 15,865百万円
(4) 純資産額 39,098百万円
(5) 総資産額 65,510百万円
５ 【従業員の状況】
(1) 連結会社の状況
2025年２月28日現在
セグメントの名称 従業員数(名)
コンサルティング事業 5,467
(注) １ 従業員数は、当社グループから当社グループ外への出向者を除いた就業人員数であります。
２ 当社グループは、コンサルティング事業の単一セグメントのため、セグメント別の記載を省略しておりま
す。
３ 従業員数が前事業年度末に比べ1,146名増加しておりますが、これは業容拡大による中途採用及び新卒採用
の増加によるものであります。
(2) 提出会社の状況
2025年２月28日現在
従業員数(名) 平均年齢(歳) 平均勤続年数(年) 平均年間給与(円)
593 31.2 4.0 13,497,765","{'chunk_index': 18, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::19,"593 31.2 4.0 13,497,765
(注) １．従業員数は、当社から他社への出向者を除き、他社から当社への出向者を含む就業人員数であります。
２．平均年間給与は、賞与及び基準外賃金を含んでおります。
３．平均勤続年数は、旧株式会社ベイカレント・コンサルティングでの勤続年数を引き継いで算出しておりま
す。
４．当社は、コンサルティング事業の単一セグメントであるため、セグメント別の記載はしておりません。
(3) 労働組合の状況
当社グループにおいて労働組合は組成されておりませんが、労使関係は円満に推移しております。","{'chunk_index': 19, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::20,"9/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(4) 管理職に占める女性労働者の割合、男性労働者の育児休業取得率及び労働者の男女の賃金の差異
① 提出会社
当事業年度
労働者の男女の賃金の差異(％)
管理職に占める女性 男性労働者の育児
(注)１、３
労働者の割合(％) 休業取得率(％)
正規雇用 パート・
(注)１、３ (注)２ 全労働者
労働者 有期労働者
4.6 84.6 54.0 65.6 69.9
(注) １．「女性の職業生活における活躍の推進に関する法律」(平成27年法律第64号)の規定に基づき算出したもので
あります。
２．「育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律」(平成３年法律第76号)の規定
に基づき、「育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則」(平成３","{'chunk_index': 20, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::21,"年労働省令第25号)第71条の４第１号における育児休業等の取得割合を算出したものであります。
３．今後の管理職に占める女性労働者の割合については、積極的に能力のある女性を管理職への登用を図り、当
該比率を高めることを目指しております。労働者の男女の賃金の差異については、性別や年齢等の属性によ
らない、個人の能力に基づく評価・登用を実施しております。また、職位と賃金水準がリンクしており、同
一の職位においては、男女間での賃金水準に差異はございません。なお、パート・有期労働者には、アルバ
イトスタッフの賃金を含めて算定しております。
② 連結子会社
当事業年度
管理職に 男性労働者の 労働者の男女の
占める 育児休業取得率(％) 賃金の差異(％)(注１) 補足説明
名称 女性労働者
の割合(％) 全労働者 正規雇用 パート・ 全労働者 正規雇用 パート・
(注１) 労働者 有期労働者 労働者 有期労働者
㈱ベイカレ
ント・コン","{'source': 'bay_ir_2025.pdf', 'chunk_index': 21}"
bay_ir_2025.pdf::chunk::22,"(注１) 労働者 有期労働者 労働者 有期労働者
㈱ベイカレ
ント・コン
2.0 93.8 93.8 - (注２) 95.0 95.0 - -
サルティン
グ
㈱ベイカレ
ント・テク - 100.0 100.0 - (注２) 107.9 107.9 - -
ノロジー
(注) １．「女性の職業生活における活躍の推進に関する法律」(平成27年法律第64号)の規定に基づき算出したもので
あります。
２．「育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律」(平成３年法律第76号)の規定
に基づき、「育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則」(平成３
年労働省令第25号)第71条の４第１号における育児休業等の取得割合を算出したものであります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 22}"
bay_ir_2025.pdf::chunk::23,"10/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
第２ 【事業の状況】
１ 【経営方針、経営環境及び対処すべき課題等】
当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。
なお、文中の将来に関する事項は、本有価証券報告書提出日現在において当社グループが判断したものでありま
す。
(1) 経営方針
当社グループは、日本発の総合コンサルティングファームであり、様々な業界のリーディングカンパニーが抱え
る課題を解決し、成果を生み出すことで、クライアントの持続的な発展に貢献し続けていくことをミッションとし
ております。
また、当社グループはパーパスとして「Beyond the Edge - 変化の一番先に立ち、次への扉をともに開く。 -」
を掲げ、コンサルティングファームとして「あらゆる業界のリーディングカンパニーの成長に最も貢献している」
こと、「付加価値を誰よりも追求している」こと、「未来を担う人材が集結している」ことを目指しております。","{'chunk_index': 23, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::24,"これらの方針を基に、当社グループはクライアントに対し、ベストプラクティスの提示にとどまらず、固有の企
業風土・価値観を共有して伴走する真のパートナーとして、戦略策定から企画・実行支援まで幅広く支援しており
ます。
今後も、コンサルティングサービスの更なる高付加価値化や、人材の採用・育成に注力し、働きやすくやりがい
のある魅力的な職場環境を提供していくことで、当社グループの継続的な成長と高収益を実現し、当社の企業価値
向上を図りながらステークホルダーとも価値共有することを目指してまいります。
(2) 目標とする経営指標
当社グループは、2024年４月12日に公表いたしました新たな中期経営計画において、2025年２月期から2029年２
月期にかけて年率平均20％を目安とした継続的な成長を実現することで、2029年２月期における売上：2,500億円を
目標としております。また、成長戦略として、「コアクライアント戦略の推進」、「ケイパビリティの拡充」、","{'chunk_index': 24, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::25,"「優秀な人材の採用・育成」についての取り組みを進めてまいります。
(3) 経営環境
① コンサルティング市場
昨今の経営環境は、市場競争の激化や市場構造の変化により、企業経営者の抱える課題が多様化・複雑化して
おり、これら経営課題を解決するために、調査・分析能力や企画・実行能力等の高い専門性を有するコンサルタ
ントに対するニーズが高まっております。さらに、今後の更なるデジタル技術の発展に伴い、ビジネスにおける
新たな技術の利活用に対するニーズは年々高まると考えられ、コンサルティング市場は高成長を継続する見込み
です。
② 採用マーケット
コンサルティングニーズの増大に伴い、業界内での人材争奪戦が激化し、経験者採用に係る費用、人件費は高
騰する傾向にあります。働き方改革等により、業界を問わず人材の確保が課題となっており、新卒採用も過熱化
している状況です。","{'chunk_index': 25, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::26,"11/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
(4) 優先的に対処すべき事業上及び財務上の課題
① 優秀な人材の採用と育成
当社グループは、今後の事業を支える優秀な人材の採用と育成が重要であると認識しております。当社グルー
プが支援している各業界の企業経営者に対する支援サービスには、コンサルタントの提案力や課題解決力の向上
が不可欠であると考えております。そのため、積極的な人材採用を進めるとともに、中長期的な人材育成のため
の体制強化を行うことで、優秀な人材の獲得を推進しております。
② サービス領域の拡充
当社グループは、クライアントのあらゆるニーズに応えるべく、トップマネジメントの意思決定サポートや企
業経営における課題解決、デジタル技術を活用した生産性向上のためのビジネスプロセス改革、これらの実行支
援までを含めた総合的な支援を提供することで、クライアントの課題解決に大きく貢献できると考えておりま","{'chunk_index': 26, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::27,"す。今後も、クライアントとともに経営の問題を解決しながら潜在的なニーズを捉えるとともに、当社グループ
としてより幅広い経営支援サービスが提供できる体制作りや人材育成を実行してまいります。
③ 安定した稼働率の維持
当社グループは、高い収益性を維持し、持続的な成長をするためには安定した稼働率(ある時点におけるコンサ
ルタント全数のうち、プロジェクトに参画している人数の割合)を維持することが重要であることを認識しており
ます。積極的な人材採用を推進しながらも、適切な稼働率を維持できるよう事業活動に取り組んでまいります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 27}"
bay_ir_2025.pdf::chunk::28,"12/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
２ 【サステナビリティに関する考え方及び取組】
当社グループのサステナビリティに関する考え方及び取組は、以下のとおりであります。
なお、文中の将来に関する事項は、当連結会計年度末現在において当社が判断したものであります。
(1) サステナビリティ全般に関するガバナンス及びリスク管理
当社グループは、政府や様々な業界を代表する企業の抱える課題を解決し、クライアントの持続的な発展を支援
しております。しかし、当社グループの事業であるコンサルティングサービスは、社会全体が持続的に発展してい
るからこそ、各企業の直面する課題が複雑化・高度化し続けているため、需要が生じるものです。そのため、当社
グループには経営の前提として、当社グループやクライアントだけでなく社会全体が持続的に発展することや、地
球環境が健全に維持されている状態が必要不可欠であるという考えがありました。2015年国連サミットでのSDGsの","{'source': 'bay_ir_2025.pdf', 'chunk_index': 28}"
bay_ir_2025.pdf::chunk::29,"全会一致での採択から、刻一刻と世界中でサステナビリティ実現の重要性が高まっておりますが、サステナビリ
ティに関する考えは当社グループに受け継がれてきた経営の前提と合致するものだと考えております。
当社グループは、日本最大級のコンサルティングファームの責務として、当社グループでのサステナビリティ経
営を実行し、当社グループに蓄積された様々なナレッジをクライアントのサステナビリティ経営の実現のために提
供し続け、持続可能な社会と経済成長の実現に向けて貢献してまいります。
① ガバナンス
当社グループは、経営の透明性を高め、監督機能の強化と意思決定の迅速化を図り、コンプライアンスを確保
することをコーポレート・ガバナンス上の最重要課題と位置づけており、コーポレート・ガバナンス体制の強
化・充実を推進することにより、企業価値の向上を目指しております。
コーポレート・ガバナンス体制
当社は、監査等委員会設置会社であります。取締役会と監査等委員会を中心としたコーポレート・ガバナンス","{'chunk_index': 29, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::30,"体制を構築しております。詳細については、「第４ 提出会社の状況 ４ コーポレート・ガバナンスの状況
等 (1) コーポレート・ガバナンスの概要」に記載のとおりであります。
② リスク管理
当社グループは、当社が直面する、あるいは、将来発生する可能性のあるリスクを識別し、識別したリスクに
対して組織的かつ適切な予防策を講じることが重要と考えており、リスクヘッジするための諸施策やリスクをコ
ントロールするための様々な取り組みを行っております。
・原則として四半期に１回、コンプライアンス推進委員会にて、各事業本部におけるリスクの洗出しや、リスク
管理に関する対応状況の報告を指示するなど、リスクの把握に努めております。
・経営上の重大なリスクへの対応方針、その他リスク管理の観点から重要な事項については、各種会議において
十分な審議を行う他、特に重要なものについては取締役会において報告し、必要に応じて適切な対応を実施して
おります。","{'source': 'bay_ir_2025.pdf', 'chunk_index': 30}"
bay_ir_2025.pdf::chunk::31,"おります。
・事業活動上の重大な事態が発生した場合には、コンプライアンス推進委員会を臨時で開催し迅速な対応を行う
ことで、被害及び損失の拡大を防止し、これを最小限にとどめる為の体制を整備することとしております。","{'chunk_index': 31, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::32,"13/109
EDINET提出書類
株式会社ベイカレント(E32549)
有価証券報告書
③ 気候変動への対応
・リスク・機会
当社グループは、TCFD提言にて例示されている気候変動がもたらすリスク・機会を元に、シナリオ分析を実施
いたしました。そのうち重要なものは以下のとおりです。
リスク：長期的には、異常気象(台風、山火事、洪水、暴風雨)の激甚化及び増加による自然災害が要因となる
顧客の事業活動停滞により、コンサルティング事業における売上の低下、及び自然災害、停電により
事業活動の停止。
機会 ：中長期的には、取引先の環境意識拡大により、環境影響を懸念したサプライチェーンの見直し、ス
テークホルダーからの要請に対応すべく、当社グループのコンサルティングニーズが増加。
・指標と目標
当社グループは、GHG排出量削減に向け、社内の省エネ・節電を心掛けるとともに、化石燃料を用いない再生可","{'chunk_index': 32, 'source': 'bay_ir_2025.pdf'}"
bay_ir_2025.pdf::chunk::33,"能エネルギーの導入や国が認証するJ-クレジット制度を積極的に活用し、脱炭素社会の実現を目指します。その
ための指標と目標として、事業による直接排出と電力消費による間接排出について、2026年２月期に実質ゼロの
目標を設定いたしました。
(2) 人的資本(人材の多様性を含む)に関する「戦略」並びに「指標及び目標」について
「戦略」
・健康経営
当社グループは、企業が持続的な成長を達成する為には、社員やその家族が心身ともに健康であり、社員がプ
ロフェッショナルとして継続的に付加価値の高いサービスを提供することが重要であると認識しております。そ
のため、社員が安心して仕事に専念出来る環境・多様な人材が健康的な働き方を選択できる環境を整備する為
に、様々な取組みを実施しております。
今後とも、健康維持・増進を経営の重要テーマと位置付けて、社員やその家族がいきいきと働くことが出来る
環境づくりを継続してまいります。","{'chunk_index': 33, 'source': 'bay_ir_2025.pdf'}"
